,시군구,기준년도,합계,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시
2020,종로구,부상자수,23,-,-,-,4,2,5,3,1,2,3,1,2
2020,중구,사고건수,20,2,-,1,-,1,4,2,3,1,1,3,2
2020,중구,사망자수,0,0,-,0,-,0,0,0,0,0,0,0,0
2020,중구,부상자수,21,2,-,1,-,1,4,2,4,1,1,3,2
2020,용산구,사고건수,18,-,-,-,2,1,2,2,3,4,2,1,1
2020,용산구,사망자수,0,-,-,-,0,0,0,0,0,0,0,0,0
2020,용산구,부상자수,22,-,-,-,2,1,3,2,4,4,3,2,1
2020,성동구,사고건수,93,-,1,1,6,8,9,7,13,19,15,8,6
2020,성동구,사망자수,1,-,0,0,0,0,0,0,1,0,0,0,0
2020,성동구,부상자수,102,-,1,2,6,8,10,7,12,23,16,10,7
2020,동대문구,사고건수,114,1,1,2,8,8,14,8,18,19,21,8,6
2020,동대문구,사망자수,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,동대문구,부상자수,126,1,1,2,8,8,16,8,18,21,24,12,7
2020,성북구,사고건수,40,-,-,3,2,5,6,2,10,4,4,4,-
2020,성북구,사망자수,0,-,-,0,0,0,0,0,0,0,0,0,-
2020,성북구,부상자수,44,-,-,4,2,5,6,3,11,5,4,4,-
2020,도봉구,사고건수,57,1,-,1,4,8,5,5,9,9,6,6,3
2020,도봉구,사망자수,1,0,-,0,0,0,0,0,0,1,0,0,0
2020,도봉구,부상자수,60,1,-,1,4,8,6,5,12,8,6,6,3
2020,은평구,사고건수,43,1,-,2,2,4,7,3,6,4,9,4,1
2020,은평구,사망자수,1,0,-,0,0,0,0,0,0,0,1,0,0
2020,은평구,부상자수,46,1,-,2,2,4,9,3,6,5,8,5,1
2020,서대문구,사고건수,38,-,-,1,2,3,3,2,7,9,4,4,3
2020,서대문구,사망자수,1,-,-,0,0,0,0,0,1,0,0,0,0
2020,서대문구,부상자수,39,-,-,1,2,3,3,2,7,10,4,4,3
2020,마포구,사고건수,51,-,-,-,1,5,5,1,10,8,10,8,3
2020,마포구,사망자수,0,-,-,-,0,0,0,0,0,0,0,0,0
2020,마포구,부상자수,59,-,-,-,1,6,5,1,11,8,11,13,3
2020,강서구,사고건수,73,-,2,2,4,5,8,7,5,11,13,11,5
2020,강서구,사망자수,0,-,0,0,0,0,0,0,0,0,0,0,0
2020,강서구,부상자수,79,-,2,2,5,5,10,7,6,11,13,11,7
2020,구로구,사고건수,58,1,-,2,2,7,8,4,8,9,8,6,3
2020,구로구,사망자수,0,0,-,0,0,0,0,0,0,0,0,0,0
