구분,대여소명,반납일자,반납건수,,,,
강서구,1151. 마곡역1번출구,201901,305,,,,
강서구,1152. 마곡역교차로,201901,477,,,,
강서구,"1153. 발산역 1번, 9번 인근 대여소",201901,877,,,,
강서구,1155. 기쁜우리복지관,201901,287,,,,
강서구,1157. 강서구청,201901,349,,,,
강서구,1158. 가양역 8번출구,201901,802,,,,
강서구,1159. 서서울모터리움앞,201901,296,,,,
강서구,1160. 양천향교역 7번출구앞,201901,712,,,,
강서구,1161. 강서면허시험장앞,201901,78,,,,
강서구,1162. 공항초등학교건너편,201901,357,,,,
강서구,1163. 방화동강서기동대앞,201901,221,,,,
강서구,1165. 마곡중학교 후문,201901,130,,,,
강서구,1166. 강서구립등빛도서관,201901,629,,,,
강서구,1167. 마곡수명산파크3단지 교차로,201901,656,,,,
강서구,1168. 마곡엠밸리10단지 앞,201901,251,,,,
강서구,1169. 염창역 1번 출구,201901,225,,,,
강서구,1170. 강서구보건소 (삼성디지털 프라자),201901,61,,,,
강서구,1171. 염창동 새마을금고 건너편 (모닝글로리),201901,252,,,,
강서구,1172. 가양3동 주민센터,201901,166,,,,
강서구,1173. 강서구청사거리(SH타워),201901,346,,,,
강서구,1174. 강서구청사거리(부민병원),201901,203,,,,
강서구,1175. 대한항공 인력개발센터,201901,159,,,,
강서구,1177. 수명중?고교,201901,165,,,,
강서구,1178. 개화산역 2번 출구,201901,130,,,,
강서구,1180. 마곡엠밸리 15단지(1502동) 건너편,201901,138,,,,
강서구,1181. 농수산식품공사 (강서지사),201901,62,,,,
강서구,1182. KBS 스포츠월드,201901,216,,,,
강서구,1183. KC 대학교,201901,73,,,,
강서구,1184. 마곡13단지,201901,265,,,,
강서구,1185. 등촌9단지,201901,305,,,,
강서구,1186. 송정중학교,201901,113,,,,
강서구,1187. 강서수산물도매시장,201901,59,,,,
강서구,1188. 롯데중앙연구소,201901,64,,,,
강서구,1190. 마곡역 교차로(2번출구),201901,77,,,,
강서구,1191. 마곡역 교차로(NH농협),201901,220,,,,
강서구,1192. 마곡수명산파크 209동 건너편,201901,178,,,,
강서구,1193. 마곡센트럴타워 1차,201901,305,,,,
강서구,1194. 센서텍㈜,201901,178,,,,
강서구,1195. 코오롱One&Only타워,201901,348,,,,
강서구,1196. 서울식물원(문화센터) 건너편,201901,47,,,,
강서구,1197. 엘펠리체 호텔 건너편,201901,440,,,,
강서구,1198. LG 사이언스파크,201901,113,,,,
강서구,1199. 우장산역 3번출구,201901,177,,,,
강서구,1200. 개화광역환승센터,201901,12,,,,
